card_id,bank_no,is_co_branded,is_dual_currency,is_enable_reward_calc,card_type,default_card_network
firstbank_ileo,007,FALSE,FALSE,TRUE,iLEO卡,MASTERCARD
hncb_love_precious_red,008,FALSE,FALSE,FALSE,Love紅卡,JCB
hncb_love_precious_black,008,FALSE,FALSE,FALSE,Love黑卡,JCB
hncb_i_shopping,008,FALSE,FALSE,TRUE,i網購生活卡,
hncb_bearq,008,FALSE,FALSE,TRUE,熊Q卡,
cathay_cube,013,FALSE,FALSE,TRUE,Cube卡,
cathay_shopee,013,TRUE,FALSE,TRUE,蝦皮聯名卡,MASTERCARD
sino_daway,807,TRUE,FALSE,TRUE,DAWAY卡,VISA
sino_green,807,FALSE,FALSE,TRUE,現金回饋Green卡,MASTERCARD
sino_dawho,807,FALSE,FALSE,TRUE,DAWHO卡,VISA
sino_sport,807,FALSE,FALSE,TRUE,SPORT卡,MASTERCARD
sino_dual_currency,807,FALSE,TRUE,TRUE,幣倍卡,MASTERCARD
sino_jcb,807,FALSE,FALSE,TRUE,現金回饋JCB卡,JCB
sino_mitsui_outlet_park,807,TRUE,FALSE,TRUE,三井outlet聯名卡,
esun_ubear,808,FALSE,FALSE,TRUE,U bear卡,MASTERCARD
esun_digital_insurance,808,FALSE,FALSE,TRUE,數位保險卡,JCB
esun_digital_e_fashion,808,FALSE,FALSE,TRUE,數位e卡輕時尚版,MASTERCARD
esun_digital_e_life,808,FALSE,FALSE,TRUE,數位e卡寵生活版,MASTERCARD
esun_kumamoto,808,FALSE,FALSE,TRUE,熊本熊卡(最愛吃、向右右),JCB
esun_kumamoto_dual,808,FALSE,TRUE,TRUE,熊本熊雙幣卡(很友好、向左左),JCB
esun_precious,808,FALSE,FALSE,FALSE,晶緻卡,JCB
esun_uni_department,808,TRUE,FALSE,FALSE,統一時代聯名卡,
esun_unicard,808,FALSE,FALSE,TRUE,Unicard,
esun_pi,808,TRUE,FALSE,TRUE,Pi錢包信用卡,MASTERCARD
taishin_richart,812,FALSE,FALSE,TRUE,Richart卡,
taishin_gogo,812,FALSE,FALSE,TRUE,GOGO卡,VISA
taishin_flygo,812,FALSE,FALSE,TRUE,FlyGO卡,MASTERCARD
taishin_apollo,812,FALSE,FALSE,TRUE,太陽卡,
taishin_rose,812,FALSE,FALSE,TRUE,玫瑰卡,
taishin_rose_giving,812,FALSE,FALSE,TRUE,玫瑰giving卡,
taishin_jko,812,TRUE,FALSE,TRUE,街口聯名卡,
taishin_skm,812,TRUE,FALSE,TRUE,新光三越聯名卡,VISA
ctbc_uniopen,822,TRUE,FALSE,TRUE,Uniopen聯名卡,MASTERCARD
ctbc_line_pay,822,TRUE,FALSE,TRUE,Line Pay卡,VISA
ctbc_fe_sogo,822,TRUE,FALSE,TRUE,遠東SOGO聯名卡,VISA
ctbc_cpc,822,TRUE,FALSE,TRUE,中油聯名卡,VISA
ctbc_lalaport,822,TRUE,FALSE,TRUE,Lalaport聯名卡,
ctbc_ctbc_bank_card,822,FALSE,FALSE,TRUE,中國信託銀行卡,
dbs_eco,810,FALSE,FALSE,TRUE,星展eco永續卡,MASTERCARD
dbs_arena_of_valor,810,TRUE,FALSE,TRUE,星展傳說對決聯名卡,VISA
union_line_point,803,TRUE,FALSE,TRUE,聯邦賴點卡,VISA
fubon_jcash,012,FALSE,FALSE,TRUE,富邦J_CASH卡,JCB
fubon_jpoint,012,TRUE,FALSE,TRUE,富邦J_POINT卡,JCB
